"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega[1]",0.25156161,0.251666,0.252291726821685,11000,0.95,0.242146,0.261284,NA,NA,NA,NA,NA,NA,NA
"omega[2]",0.248506101909091,0.248633,0.249335472878971,11000,0.95,0.237864,0.258274,NA,NA,NA,NA,NA,NA,NA
"omega[3]",0.255114322818182,0.255198,0.254848658381259,10341.4,0.95,0.243954,0.265073,NA,NA,NA,NA,NA,NA,NA
"omega[4]",0.237115194545455,0.2371815,0.237392286332525,11000,0.95,0.226934,0.2476,NA,NA,NA,NA,NA,NA,NA
"omega[5]",0.256506472,0.2566155,0.256957043406959,11000,0.95,0.245647,0.267385,NA,NA,NA,NA,NA,NA,NA
"omega[6]",0.248638198090909,0.2487545,0.248887347023615,10305.7,0.95,0.239176,0.258444,NA,NA,NA,NA,NA,NA,NA
"omega[7]",0.121932223918182,0.122028,0.12281652600089,4569.4,0.95,0.109196,0.134569,NA,NA,NA,NA,NA,NA,NA
"omega[8]",0.258966972,0.259061,0.259451108476391,10508.2,0.95,0.249475,0.268363,NA,NA,NA,NA,NA,NA,NA
"omega[9]",0.246672499181818,0.246724,0.246603565073728,10646.3,0.95,0.234998,0.256988,NA,NA,NA,NA,NA,NA,NA
"omegaO",0.226557796381818,0.2274495,0.228409274930988,10703.3,0.95,0.178979,0.269504,NA,NA,NA,NA,NA,NA,NA
"kappa[1]",240.448963454545,231.3355,210.055773481443,10432.3,0.95,121.665,377.271,NA,NA,NA,NA,NA,NA,NA
"kappa[2]",259.7544725,246.7965,224.43745446891,9938.1,0.95,118.789,422.138,NA,NA,NA,NA,NA,NA,NA
"kappa[3]",212.750980109091,201.918,190.814888770798,10165.3,0.95,101.94,350.008,NA,NA,NA,NA,NA,NA,NA
"kappa[4]",171.7349481,165.7415,151.709090226565,9302.6,0.95,91.6935,266.562,NA,NA,NA,NA,NA,NA,NA
"kappa[5]",240.020384918182,228.3865,204.814932476803,11241.8,0.95,111.909,397.41,NA,NA,NA,NA,NA,NA,NA
"kappa[6]",217.359910654545,207.8345,192.117890752745,9961.9,0.95,114.598,343.26,NA,NA,NA,NA,NA,NA,NA
"kappa[7]",105.358207990909,96.1755,81.66183243463,2274.6,0.95,42.6053,190.915,NA,NA,NA,NA,NA,NA,NA
"kappa[8]",400.108844772727,380.3705,340.193687314288,10281.8,0.95,183.228,674.394,NA,NA,NA,NA,NA,NA,NA
"kappa[9]",243.204783245455,230.033,216.17120859425,10081.6,0.95,105.731,413.043,NA,NA,NA,NA,NA,NA,NA
"kappaO",61.0753091445455,56.01315,41.2263845084758,10535.1,0.95,10.9911,124.109,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.131282999636364,0.1292135,0.127806636589673,11000,0.95,0.0668168,0.199811,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.246529170909091,0.2459275,0.243959193256455,11000,0.95,0.206066,0.288576,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.252225472090909,0.251972,0.25305334412921,11439.9,0.95,0.205186,0.301334,NA,NA,NA,NA,NA,NA,NA
"theta[4]",0.232914296636364,0.23276,0.233527441450378,11000,0.95,0.20502,0.262394,NA,NA,NA,NA,NA,NA,NA
"theta[5]",0.251196207909091,0.2508745,0.250929497493508,11000,0.95,0.203264,0.299743,NA,NA,NA,NA,NA,NA,NA
"theta[6]",0.128596633881818,0.1260925,0.117490792698624,11000,0.95,0.0633417,0.196994,NA,NA,NA,NA,NA,NA,NA
"theta[7]",0.128189752627273,0.124857,0.11981333791904,9718.5,0.95,0.0616719,0.199566,NA,NA,NA,NA,NA,NA,NA
"theta[8]",0.241168133454545,0.241003,0.245653739302858,11000,0.95,0.186053,0.295821,NA,NA,NA,NA,NA,NA,NA
"theta[9]",0.267162487,0.2668945,0.265574407980892,11000,0.95,0.236223,0.298162,NA,NA,NA,NA,NA,NA,NA
"theta[10]",0.278056331181818,0.2777645,0.278349459773629,11000,0.95,0.247912,0.309684,NA,NA,NA,NA,NA,NA,NA
"theta[11]",0.128838673581818,0.1266565,0.126328351509494,10271.8,0.95,0.0650197,0.200568,NA,NA,NA,NA,NA,NA,NA
"theta[12]",0.247964949272727,0.2477615,0.247005442077008,11370.5,0.95,0.215342,0.27838,NA,NA,NA,NA,NA,NA,NA
"theta[13]",0.244980324,0.244849,0.246177027795134,11000,0.95,0.208306,0.281789,NA,NA,NA,NA,NA,NA,NA
"theta[14]",0.241049579272727,0.239989,0.237875041588256,11000,0.95,0.178481,0.308312,NA,NA,NA,NA,NA,NA,NA
"theta[15]",0.246780100727273,0.246413,0.247411009205963,11000,0.95,0.186049,0.305472,NA,NA,NA,NA,NA,NA,NA
"theta[16]",0.226759854454545,0.226602,0.224897791910902,11000,0.95,0.193579,0.260957,NA,NA,NA,NA,NA,NA,NA
"theta[17]",0.275948240090909,0.275528,0.275251214972003,11000,0.95,0.245844,0.30617,NA,NA,NA,NA,NA,NA,NA
"theta[18]",0.246141374454545,0.246074,0.246344538475576,11000,0.95,0.202838,0.290988,NA,NA,NA,NA,NA,NA,NA
