"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,4,4,4,7,14,1,6,68900,36500,59817,1375800
"2",2002,3,3,4,2,5,9,2,3,68600,46500,62786,1381300
"3",2003,4,2,4,4,5,7,2,12,83000,40500,74950,1499000
"4",2004,2,1,3,5,3,9,2,7,83600,72000,77917,1324600
"5",2005,1,2,2,2,2,8,3,5,82000,62100,72850,1092764
"6",2006,1,3,3,3,4,4,3,5,68000,67000,67500,135000
"7",2007,5,3,5,5,3,4,3,3,80708,55400,69312,831752
"8",2008,6,0,6,3,7,8,2,7,80552,50000,71947,1295056
"9",2009,4,3,4,4,6,9,3,4,80552,64600,76656,1303156
"10",2010,5,1,5,2,7,14,1,2,80720,40100,73069,1534469
"11",2011,5,5,5,3,8,23,1,4,80720,65000,78488,1648258
"12",2012,5,5,5,3,6,12,2,5,86298,62000,78102,1952556
"13",2013,4,4,5,3,7,8,3,3,80645,65000,77583,1939579
"14",2014,3,3,4,3,3,5,2,6,80667,65851,77823,1867757
"15",2015,5,1,6,4,11,16,2,4,81359,55200,75390,1884765
"16",2016,4,6,6,2,4,9,2,3,81360,55094,76110,1522203
