"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,4,4,4,5,20,2,3,73963,16917,37747,1170166
"2",2002,5,4,5,2,8,23,4,4,73726,19059,39571,1226702
"3",2003,4,4,5,3,10,20,1,5,39939,27451,36685,1100554
"4",2004,7,1,7,2,7,18,2,4,71876,27791,39721,1151912
"5",2005,7,4,7,2,6,10,2,5,38359,34692,37859,832910
"6",2006,4,3,4,3,6,11,3,4,60132,55872,59638,1371692
"7",2007,7,4,7,4,12,21,2,4,60161,53136,59724,1493106
"8",2008,6,3,6,3,4,18,2,2,88103,55641,60366,1931730
"9",2009,4,5,5,3,7,13,3,5,60103,56592,59775,1374832
"10",2010,6,3,6,2,6,11,2,3,88851,59361,61016,1586426
"11",2011,6,2,6,6,6,9,2,2,60111,46539,59315,1720135
"12",2012,4,2,5,2,5,11,2,4,60112,58351,59927,1558104
"13",2013,3,3,4,6,7,12,2,4,89345,50000,60472,1753697
"14",2014,4,3,5,2,9,11,2,3,89283,50000,60704,1821120
"15",2015,6,3,6,4,4,9,3,4,85437,49824,60358,1690037
"16",2016,6,8,8,4,7,19,2,3,60039,59013,59888,1257654
