"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,6,4,6,4,7,18,1,4,69000,20000,48583,1166000
"2",2002,4,3,5,2,6,18,2,5,69000,22000,50142,1053000
"3",2003,3,6,6,2,3,12,2,2,71000,32000,55309,1161500
"4",2004,3,4,5,3,8,11,2,2,63000,37000,53000,1060000
"5",2005,3,3,4,3,7,18,2,2,69000,56000,67214,941000
"6",2006,3,4,4,3,3,8,2,4,69000,51000,63000,189000
"7",2007,6,3,6,4,8,17,2,3,69000,62000,66705,1134000
"8",2008,6,4,6,4,5,17,2,2,69000,63000,67863,1493000
"9",2009,7,4,7,2,13,17,1,3,80100,42000,67322,1481100
"10",2010,6,7,7,2,4,8,3,3,69000,64000,68750,1375000
"11",2011,7,6,7,3,10,12,1,2,69901,61523,68016,1768424
"12",2012,7,5,7,2,11,23,1,1,75420,64500,70086,1962432
"13",2013,5,7,7,4,13,24,1,3,71137,20000,68132,1771437
"14",2014,8,6,8,3,6,18,3,4,75000,68000,72120,1803000
"15",2015,5,2,5,2,14,16,1,1,75000,37000,72363,1953822
"16",2016,8,5,8,1,8,20,2,3,75000,70000,73850,1477000
