"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,1,3,4,3,7,3,9,20105,8613,14629,380367
"2",2002,3,3,3,4,3,6,3,5,42602,10292,14903,402396
"3",2003,4,2,4,4,3,7,4,6,21121,9561,14894,372371
"4",2004,3,3,3,3,3,9,4,9,19797,6558,14349,401798
"5",2005,3,3,4,3,4,10,2,5,19842,7011,14862,386414
"6",2006,3,2,3,4,2,4,3,10,37425,8274,18235,455877
"7",2007,3,2,3,3,5,10,3,9,18698,8166,16082,434232
"8",2008,1,3,3,4,3,3,4,5,16851,5236,13917,417515
"9",2009,3,2,4,5,2,3,4,8,17120,12179,14344,329924
"10",2010,3,5,5,3,5,11,3,8,15538,6434,12784,332395
"11",2011,3,0,3,4,3,8,4,4,16314,8935,12660,316501
"12",2012,3,5,5,4,3,7,4,4,16968,5343,12941,336476
"13",2013,5,4,5,3,3,6,4,9,16625,7302,14810,385075
"14",2014,5,5,5,3,5,9,4,4,20250,7318,16274,390592
"15",2015,3,3,3,4,4,4,2,7,21012,18259,20375,427876
"16",2016,2,2,2,5,2,4,3,5,21118,7004,19392,349063
