"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,2,4,2,4,6,3,5,33850,19129,26903,403549
"2",2002,6,5,6,2,4,7,3,3,33000,10650,24182,483658
"3",2003,3,2,3,5,3,8,2,7,32500,9197,22098,486174
"4",2004,4,3,4,4,2,6,2,7,32750,16656,23414,444874
"5",2005,0,3,3,2,4,16,1,4,32800,17965,24090,433625
"6",2006,1,2,3,3,3,10,2,4,30186,14235,20150,60450
"7",2007,1,6,6,5,6,10,1,3,32487,8445,19731,256510
"8",2008,4,1,4,4,12,12,1,5,76450,9209,28990,724767
"9",2009,4,3,4,2,9,13,3,5,40084,20868,29999,629993
"10",2010,2,2,3,4,2,10,2,3,34000,19991,25183,478478
"11",2011,0,1,3,3,6,7,2,7,31625,15404,20819,374746
"12",2012,4,4,4,4,5,10,2,6,31858,11889,19387,445908
"13",2013,4,0,4,3,3,6,3,7,32158,7329,18042,360846
"14",2014,3,2,3,5,3,8,2,3,40275,7701,22715,431592
"15",2015,4,2,4,5,5,10,3,4,39672,13640,24727,543999
"16",2016,4,4,4,4,3,7,2,3,38803,8900,22439,426350
