"","outcome","num_plays","yards","drive_time","away_score","home_score","Game_ID","Away_Team","Home_Team"
"1","Punt",3,-2,67,0,0,"400876048","OHIO","TROY"
"2","Touchdown",2,4,19,0,7,"400876048","OHIO","TROY"
"3","Interception",2,1,51,0,7,"400876048","OHIO","TROY"
"4","Interception",4,3,86,0,7,"400876048","OHIO","TROY"
"5","Touchdown",7,9,178,7,7,"400876048","OHIO","TROY"
"6","Interception",3,2,76,7,7,"400876048","OHIO","TROY"
"7","Interception",3,2,80,7,7,"400876048","OHIO","TROY"
"8","Touchdown",11,6,269,7,14,"400876048","OHIO","TROY"
"9","Field Goal",10,5,174,10,14,"400876048","OHIO","TROY"
"10","Punt",3,-1,55,10,14,"400876048","OHIO","TROY"
"11","Fumble",3,5,47,10,14,"400876048","OHIO","TROY"
"12","Missed FG",7,4,123,10,14,"400876048","OHIO","TROY"
"13","Interception",5,1,160,10,14,"400876048","OHIO","TROY"
"14","Touchdown",5,1,123,10,21,"400876048","OHIO","TROY"
"15","Touchdown",11,7,233,17,21,"400876048","OHIO","TROY"
"16","Punt",3,7,39,17,21,"400876048","OHIO","TROY"
"17","End of Half",1,-3,20,17,21,"400876048","OHIO","TROY"
"18","Punt",3,-5,66,17,21,"400876048","OHIO","TROY"
"19","Punt",4,2,129,17,21,"400876048","OHIO","TROY"
"20","Punt",12,4,311,17,21,"400876048","OHIO","TROY"
"21","Interception",2,4,43,17,21,"400876048","OHIO","TROY"
"22","Touchdown",1,4,4,17,28,"400876048","OHIO","TROY"
"23","Field Goal",9,2,139,20,28,"400876048","OHIO","TROY"
"24","Punt",9,3,282,20,28,"400876048","OHIO","TROY"
"25","Missed FG",7,5,224,20,28,"400876048","OHIO","TROY"
"26","Punt",3,6,127,20,28,"400876048","OHIO","TROY"
"27","Field Goal",8,3,234,23,28,"400876048","OHIO","TROY"
"28","Punt",5,1,101,23,28,"400876048","OHIO","TROY"
"29","Downs",6,2,61,23,28,"400876048","OHIO","TROY"
"30","End of Game",2,-7,79,23,28,"400876048","OHIO","TROY"
