"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,2,4,4,3,7,3,9,19500,15000,16805,302500
"2",2002,2,2,2,4,3,6,3,8,19000,13000,15714,298572
"3",2003,1,3,3,2,2,8,6,6,19500,13000,15290,259930
"4",2004,3,2,3,5,3,5,3,12,16000,13500,14888,134000
"5",2005,1,2,2,4,3,9,3,4,17000,17000,17000,17000
"6",2006,4,5,5,3,7,7,3,9,25000,15000,19412,194126
"7",2007,3,3,3,4,1,4,4,4,40000,15000,20325,162600
"8",2008,3,2,3,3,3,5,3,10,35000,6000,18622,372452
"9",2009,3,1,3,3,2,3,3,7,28000,4000,17152,360200
"10",2010,4,4,4,3,3,4,4,8,22000,11500,17000,323000
"11",2011,3,2,3,8,2,6,2,7,21000,15000,17183,326493
"12",2012,4,3,4,4,2,5,3,6,21000,12873,16524,313961
"13",2013,2,0,3,7,1,5,5,5,19398,9000,14844,296887
"14",2014,2,1,2,3,3,6,5,12,17720,5000,12713,266985
"15",2015,4,5,5,4,5,9,2,3,18391,11121,14272,328257
"16",2016,0,1,2,3,1,2,7,15,17770,9464,14584,247929
