"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,3,5,4,5,6,3,7,75000,25000,43619,916000
"2",2002,4,3,4,3,4,16,1,2,70000,3000,38521,886000
"3",2003,3,3,3,4,5,5,2,6,60000,30000,45333,952000
"4",2004,3,3,3,3,3,4,3,6,65000,5000,33835,744370
"5",2005,2,3,3,3,3,9,1,5,60000,5000,28863,461810
"6",2006,5,4,5,2,8,13,3,4,20000,12000,16250,65000
"7",2007,2,2,3,4,2,7,4,9,78000,5500,27150,325800
"8",2008,4,3,4,3,4,5,4,5,60000,7000,31619,664000
"9",2009,3,4,4,3,2,5,2,9,70000,3000,25739,592000
"10",2010,2,3,3,2,6,9,3,3,55000,15000,27842,529000
"11",2011,6,2,6,4,3,8,3,4,60000,12000,31708,761000
"12",2012,6,3,6,4,5,14,2,5,70000,1000,29942,748571
"13",2013,3,0,3,4,2,5,2,4,44018,6000,27387,492969
"14",2014,7,4,7,3,6,10,2,2,55000,24477,35104,666994
"15",2015,3,2,3,5,4,6,2,3,38917,1970,19729,532697
"16",2016,3,4,4,3,5,10,2,2,40000,10000,19417,330100
