"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",333,2004,146,261,1699,11,11,116.1,502,2221,63,21,145,1685,57,11,295,189,0.983606557377049,0.588235294117647
"2",333,2005,209,351,2597,4,16,134.5,463,1710,48,12,207,2584,87,16,263,128,4.76190476190476,2.85714285714286
"3",333,2006,224,393,2767,10,17,125.3,455,1600,37,10,224,2767,78,18,298,250,0.845070422535211,0.327868852459016
"4",333,2007,263,472,2919,12,19,115.9,490,1940,47,19,263,2919,67,19,352,286,1.14754098360656,0.975609756097561
"5",333,2008,195,334,2396,9,10,123.1,568,2585,87,32,195,2396,64,11,422,200,5.71428571428571,80
"6",333,2009,212,346,2631,5,17,138.5,601,3011,70,31,212,2631,80,17,449,164,140,80
"7",333,2010,253,362,3395,5,24,167.8,467,2378,65,30,253,3395,85,24,464,176,3.2258064516129,1.61290322580645
"8",333,2011,237,357,2797,8,16,142.5,508,2788,76,34,237,2797,69,16,453,106,10.9090909090909,6.36363636363636
"9",333,2012,219,328,3052,3,31,174.3,570,3171,73,37,219,3052,85,31,542,153,11.8181818181818,6.36363636363636
"10",333,2013,244,365,3230,7,30,164.5,461,2673,80,28,244,3230,99,30,496,181,5.23809523809524,6.36363636363636
"11",333,2014,290,451,3890,10,32,155.7,567,2893,49,35,290,3890,87,32,517,258,5.71428571428571,6.36363636363636
"12",333,2015,301,446,3407,10,22,143.5,642,2999,74,33,301,3407,81,22,526,227,12.7272727272727,6.36363636363636
"13",333,2016,265,417,3154,9,26,143.3,639,3675,85,33,265,3154,71,26,582,195,12.7272727272727,80
