"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",278,2004,175,298,2124,15,23,134,506,2730,89,36,175,2124,61,23,482,246,2.90322580645161,1.61290322580645
"2",278,2005,271,430,3384,16,31,145.5,476,2140,78,25,271,3384,98,30,491,292,1.56862745098039,2.85714285714286
"3",278,2006,178,322,1898,15,16,111.9,430,2160,71,15,178,1898,75,16,276,339,0.493827160493827,0.784313725490196
"4",278,2007,215,343,2712,5,15,140.6,564,2742,72,34,215,2712,44,15,427,351,2.19512195121951,2.85714285714286
"5",278,2008,221,372,2664,12,18,129.1,479,2370,90,24,221,2664,77,18,385,404,1.14754098360656,0.975609756097561
"6",278,2009,194,321,2621,11,21,143.8,555,2976,77,30,194,2621,92,21,440,369,1.56862745098039,2.85714285714286
"7",278,2010,228,364,2860,9,24,145.4,494,1958,60,19,228,2860,78,24,377,390,1.56862745098039,1.61290322580645
"8",278,2011,279,448,3544,10,26,143.4,439,1810,65,18,279,3544,88,26,371,457,0.43956043956044,0.731707317073171
"9",278,2012,352,535,4233,8,38,152.7,471,1975,94,19,352,4233,97,38,493,310,2.19512195121951,6.36363636363636
"10",278,2013,460,675,5133,10,50,153.5,413,1967,40,21,460,5133,75,50,564,394,5.23809523809524,6.36363636363636
"11",278,2014,299,530,3132,21,25,113.7,566,2553,76,22,299,3132,81,25,371,454,0.740740740740741,1.61290322580645
"12",278,2015,202,403,2140,16,20,103.2,423,1642,64,14,202,2140,82,20,267,457,0.32967032967033,0.327868852459016
"13",278,2016,210,405,2557,13,13,109.1,440,1394,44,11,210,2557,85,13,212,371,0.0900900900900901,0
