"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,2,3,3,5,2,2,3,6,48335,43011,46744,888136
"2",2002,2,2,2,4,1,3,15,20,47586,34102,39698,754267
"3",2005,2,2,2,3,1,3,8,19,44003,28226,33904,644180
"4",2007,3,3,2,6,3,3,3,8,47802,37369,43344,823540
"5",2008,4,4,4,5,2,3,4,7,47936,35222,40168,763198
"6",2009,5,3,4,5,2,4,2,13,47641,34821,40355,766748
"7",2010,4,3,3,5,2,7,4,9,47864,35101,40011,760209
"8",2011,4,4,4,4,3,4,2,8,47751,32296,39095,742813
"9",2012,3,3,3,5,2,5,3,9,47456,35628,40544,770344
"10",2013,4,4,4,4,4,5,6,8,46313,34745,41089,780706
"11",2014,3,3,2,8,2,4,3,7,47563,39077,43157,819985
"12",2015,3,4,3,4,2,5,5,9,47653,38852,43071,818351
"13",2016,3,4,4,4,2,2,3,10,46494,38394,41286,784450
