"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,3,2,3,4,3,7,3,5,38285,19500,32882,690522
"2",2002,3,2,3,4,4,7,3,5,36500,25000,32100,609911
"3",2003,4,2,4,3,3,12,3,3,36000,24569,30349,546299
"4",2004,0,2,2,2,3,4,5,8,36500,18000,30050,570952
"5",2005,1,3,3,4,2,3,2,11,37000,20000,29670,504400
"6",2006,1,4,4,4,4,6,3,8,35500,15000,25250,50500
"7",2008,2,2,2,3,2,6,3,9,35993,18000,24072,457377
"8",2011,5,2,5,2,2,6,2,6,35000,8383,20640,61922
"9",2012,4,4,4,2,3,11,1,3,36967,12122,20510,61530
"10",2013,1,4,4,5,4,4,3,8,36609,13151,26196,471533
"11",2014,4,2,4,4,4,9,3,6,36022,15316,25351,557739
"12",2015,3,1,3,4,3,15,4,4,32611,18851,25105,451905
"13",2016,2,1,2,6,4,4,3,6,32858,10349,22610,429607
