"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,4,1,5,3,3,10,3,3,35000,17000,29374,734352
"2",2002,6,2,6,4,4,6,3,5,35500,2800,27741,665800
"3",2003,4,5,5,5,5,8,2,3,34600,17000,25717,668653
"4",2004,3,1,3,5,2,6,3,7,32000,16000,24637,394200
"5",2005,0,3,3,4,5,5,2,6,16000,16000,16000,16000
"6",2006,3,2,3,4,3,11,3,10,27314,17724,22162,66488
"7",2007,2,1,3,3,5,5,4,5,34000,12000,24137,193100
"8",2008,2,3,3,5,4,5,5,5,32000,5314,20367,488814
"9",2009,2,3,3,4,4,6,4,11,32000,9000,21479,451068
"10",2010,3,1,3,5,3,6,5,8,34000,10000,21850,437000
"11",2011,4,3,4,4,7,7,1,1,23000,23000,23000,23000
"12",2012,1,4,4,6,4,4,6,9,36000,25000,30416,577911
"13",2013,2,3,3,3,4,6,2,5,15000,15000,15000,15000
"14",2014,3,1,3,6,2,3,4,12,30334,8700,20007,400153
"15",2015,3,2,3,8,3,9,3,15,29666,11393,21950,460952
"16",2016,4,1,4,4,2,4,4,9,30810,17145,21798,348782
