"","Season","MostHomeGoals","MostAwayGoals","LargestMarginofVictory","LargestMarginofDefeat","LongestWinningStreak","LongestUnbeatenStreak","LongestLosingStreak","LongestWinlessStreak","LargestAttendance","LowestAttendance","AverageAttendance","AggregatedAttendance"
"1",2001,5,4,5,2,6,11,1,3,60000,5000,34864,767012
"2",2002,5,4,5,3,7,7,2,4,60253,19823,40683,1017094
"3",2003,7,1,7,4,6,14,3,4,53883,12500,31509,661694
"4",2004,3,3,3,1,8,15,2,2,54181,6494,24712,568387
"5",2005,4,4,4,2,9,18,1,2,56488,24693,30836,493382
"6",2007,4,4,5,2,4,9,1,3,46026,20588,24874,198998
"7",2008,4,3,4,1,7,10,2,5,30135,10500,21686,542169
"8",2009,4,3,4,3,3,6,3,4,25779,10112,21508,473177
"9",2010,2,4,4,3,4,16,3,4,26389,5441,19559,508541
"10",2011,3,5,5,2,7,45,1,1,65000,18000,34719,694385
"11",2012,2,5,5,2,6,14,1,3,45000,35000,38772,930529
"12",2013,4,3,4,2,6,14,2,2,41000,20000,37370,747400
"13",2014,7,3,7,2,6,22,1,2,70442,31218,39810,1035083
"14",2015,5,4,5,NA,13,16,2,2,41332,27898,38195,954891
"15",2016,4,4,4,2,10,14,1,2,41570,11356,38070,875626
