"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",204,2004,287,532,3706,17,29,124.1,378,848,79,10,254,3306,55,26,320,294,1.37254901960784,1.61290322580645
"2",204,2005,267,459,3261,23,13,117.2,415,1348,57,17,227,2861,63,10,293,365,0.819672131147541,0.588235294117647
"3",204,2006,259,425,3393,9,20,139.3,474,1655,28,20,238,3074,80,17,389,311,2.4390243902439,1.93548387096774
"4",204,2007,246,438,2557,21,11,103.9,541,2274,56,27,246,2557,48,11,362,294,2.19512195121951,1.93548387096774
"5",204,2008,270,448,3237,15,25,132.7,487,2055,55,21,270,3237,75,25,397,300,2.19512195121951,3.33333333333333
"6",204,2009,319,478,3520,7,23,141.5,440,1818,61,26,319,3520,87,23,409,325,1.56862745098039,1.93548387096774
"7",204,2010,221,375,2483,12,18,124,384,1435,74,18,221,2483,48,18,293,322,0.704225352112676,0.784313725490196
"8",204,2011,320,503,3441,19,16,124,318,1043,56,12,320,3441,69,16,262,370,0.32967032967033,0.491803278688525
"9",204,2012,315,504,3992,16,27,140.4,442,1617,53,26,315,3992,75,27,423,268,2.19512195121951,1.93548387096774
"10",204,2013,413,625,4844,16,38,146.1,355,1227,34,15,413,4844,59,38,452,408,1.14754098360656,0.784313725490196
"11",204,2014,290,472,3305,8,15,127.4,376,1417,78,19,290,3305,72,15,308,379,0.704225352112676,0.28169014084507
"12",204,2015,161,343,1909,11,10,96.9,446,2128,76,15,161,1909,74,10,228,444,0.198019801980198,0
"13",204,2016,193,353,2086,11,13,110.2,442,2300,92,24,193,2086,75,13,314,366,0.493827160493827,0.491803278688525
