"","team","season","tpcmp","tpatt","tpyds","tpint","tptds","tpqbrat","trcary","tryds","trlong","trtds","tcrecs","tcyds","tclong","tctds","tps","tpa","wlrall","wlrconf"
"1",248,2004,198,354,2766,6,11,128.4,466,1521,43,15,198,2766,69,11,230,354,0.37037037037037,0.588235294117647
"2",248,2005,255,422,3268,15,19,133.2,477,1997,58,23,255,3268,83,19,337,324,0.983606557377049,0.975609756097561
"3",248,2006,300,445,3889,5,30,160.8,490,2356,87,29,300,3889,77,30,462,329,2.4390243902439,7.27272727272727
"4",248,2007,291,437,3614,15,24,147.3,599,2911,60,32,291,3614,86,24,449,379,1.56862745098039,2.85714285714286
"5",248,2008,411,610,5221,12,45,159.7,406,2095,78,23,411,5221,84,45,528,402,1.56862745098039,2.85714285714286
"6",248,2009,525,747,6072,15,47,155.3,403,1815,37,23,525,6072,58,47,591,421,2.4390243902439,2.85714285714286
"7",248,2010,298,484,3927,20,34,144.6,410,1839,52,20,298,3927,68,34,452,386,0.704225352112676,0.975609756097561
"8",248,2011,479,682,6301,6,54,172.2,420,2086,72,33,479,6301,84,54,690,314,11.8181818181818,80
"9",248,2012,337,591,3941,20,27,121.3,393,1814,86,18,337,3941,74,27,389,432,0.704225352112676,0.975609756097561
"10",248,2013,299,518,3647,10,30,132.1,435,1807,62,19,299,3647,83,30,431,283,1.56862745098039,1.61290322580645
"11",248,2014,272,450,2993,15,18,122.8,495,2390,64,28,272,2993,89,18,387,268,1.56862745098039,1.61290322580645
"12",248,2015,285,432,3477,7,22,147.1,669,3301,53,46,285,3477,67,22,566,290,11.8181818181818,6.36363636363636
"13",248,2016,352,523,3852,15,24,138.6,561,1912,46,29,352,3852,55,24,466,305,2.19512195121951,1.61290322580645
