Conference,team,season,tpcmp,tpatt,tpyds,tpint,tptds,tpqbrat,trcary,tryds,trlong,trtds,tcrecs,tcyds,tclong,tctds,tps,tpa,wlrall,wlrconf
C_USA,Marshall,2004,248,425,2503,15,19,115.5,403,1355,77,11,248,2503,75,19,291,266,0.983606557,2.857142857
C_USA,Marshall,2005,228,407,2256,14,12,105.4,375,1360,56,13,228,2256,66,12,204,285,0.563380282,0.588235294
C_USA,Marshall,2006,180,295,2247,16,16,132.1,406,2005,67,23,180,2247,75,16,311,351,0.704225352,0.975609756
C_USA,Marshall,2007,266,432,3253,13,17,131.8,408,1701,75,19,266,3253,80,17,298,411,0.32967033,0.588235294
C_USA,Marshall,2008,176,351,2072,14,17,107.7,423,1893,80,13,176,2072,88,17,246,332,0.49382716,0.588235294
C_USA,Marshall,2009,233,404,2683,13,14,118.5,471,1855,80,18,233,2683,60,14,283,316,1.147540984,0.975609756
C_USA,Marshall,2010,235,421,2605,15,22,117.9,345,1166,68,7,235,2605,96,22,250,345,0.704225352,0.975609756
C_USA,Marshall,2011,246,407,2773,15,22,128.1,446,1561,69,9,246,2773,77,22,284,372,1.147540984,1.612903226
C_USA,Marshall,2012,424,607,4381,12,39,147.7,480,2030,69,24,424,4381,72,39,491,517,0.704225352,0.975609756
C_USA,Marshall,2013,315,522,4122,10,42,149.4,571,2883,75,34,315,4122,58,42,590,321,2.43902439,6.363636364
C_USA,Marshall,2014,279,473,4022,13,40,152.8,559,3807,83,40,279,4022,77,40,638,294,11.81818182,6.363636364
C_USA,Marshall,2015,275,471,3009,13,25,124,496,2196,75,19,275,3009,66,25,407,231,3.225806452,2.857142857
C_USA,Marshall,2016,264,438,2902,12,28,131.5,396,1298,41,12,264,2902,83,28,317,423,0.32967033,0.327868852
