"League"	"LID"	"CID"	"Club"	"Season"	"MostHomeGoals"	"MostAwayGoals"	"LargestMarginofVictory"	"LargestMarginofDefeat"	"LongestWinningStreak"	"LongestUnbeatenStreak"	"LongestLosingStreak"	"LongestWinlessStreak"	"LargestAttendance"	"LowestAttendance"	"AverageAttendance"	"AggregatedAttendance"
"1"	"La_Liga"	15	3788	"Sporting_Gijon"	2008	3	3	3	6	4	4	6	8	31000	7000	21491	386841
"2"	"La_Liga"	15	3788	"Sporting_Gijon"	2009	4	3	3	3	2	7	4	10	26000	15000	20131	382500
"3"	"La_Liga"	15	3788	"Sporting_Gijon"	2010	2	4	4	4	3	5	4	10	30000	16000	20605	391500
"4"	"La_Liga"	15	3788	"Sporting_Gijon"	2011	3	3	3	4	2	5	4	7	25000	15156	20718	393656
"5"	"La_Liga"	15	3788	"Sporting_Gijon"	2015	5	3	4	6	2	3	5	8	28140	19536	23220	441192
"6"	"La_Liga"	15	3788	"Sporting_Gijon"	2016	3	2	2	5	2	3	5	10	25899	15365	22692	431152
"7"	"La_Liga"	15	83	"Barcelona"	2000	7	6	7	4	6	12	2	2	NA	NA	NA	NA
"8"	"La_Liga"	15	83	"Barcelona"	2001	5	6	6	2	3	6	2	3	1e+05	37500	60562	908440
"9"	"La_Liga"	15	83	"Barcelona"	2002	6	4	5	3	4	7	3	5	98000	42866	66202	1191636
"10"	"La_Liga"	15	83	"Barcelona"	2003	5	3	5	4	9	18	2	4	96000	47863	71487	1358265
"11"	"La_Liga"	15	83	"Barcelona"	2004	4	4	4	3	5	11	1	2	98000	50000	68499	753497
"12"	"La_Liga"	15	83	"Barcelona"	2005	5	4	5	2	14	18	2	2	NA	NA	NA	NA
"13"	"La_Liga"	15	83	"Barcelona"	2006	4	6	6	2	3	7	1	3	NA	NA	NA	NA
"14"	"La_Liga"	15	83	"Barcelona"	2007	6	5	6	3	4	8	2	5	80000	57000	67428	472000
"15"	"La_Liga"	15	83	"Barcelona"	2008	6	6	6	1	10	21	2	3	95000	46000	74433	1414232
"16"	"La_Liga"	15	83	"Barcelona"	2009	6	5	5	1	7	21	1	1	98772	30000	79546	1511391
"17"	"La_Liga"	15	83	"Barcelona"	2010	5	8	8	2	16	31	1	1	98000	62000	80153	1522913
"18"	"La_Liga"	15	83	"Barcelona"	2011	8	7	8	1	11	12	1	1	99252	65000	84645	1608264
"19"	"La_Liga"	15	83	"Barcelona"	2012	6	5	5	1	12	19	1	1	96589	56055	73660	1399556
"20"	"La_Liga"	15	83	"Barcelona"	2013	7	5	7	2	8	14	1	1	98761	56355	73739	1401052
"21"	"La_Liga"	15	83	"Barcelona"	2014	6	8	8	2	6	13	2	2	98760	60005	77632	1475013
"22"	"La_Liga"	15	83	"Barcelona"	2015	6	8	8	3	12	22	3	4	98902	65531	78250	1486763
"23"	"La_Liga"	15	83	"Barcelona"	2016	7	6	6	2	7	19	1	1	98485	56605	77903	1480172
"24"	"La_Liga"	15	86	"Real_Madrid"	2000	5	4	4	2	8	12	2	2	NA	NA	NA	NA
"25"	"La_Liga"	15	86	"Real_Madrid"	2001	7	3	7	3	5	8	2	4	77000	45000	66983	1272681
"26"	"La_Liga"	15	86	"Real_Madrid"	2002	5	5	4	4	6	16	1	2	78000	50000	67789	1288000
"27"	"La_Liga"	15	86	"Real_Madrid"	2003	7	4	5	3	5	7	5	5	90000	35000	68277	1229000
"28"	"La_Liga"	15	86	"Real_Madrid"	2004	6	3	5	3	7	10	2	2	80000	50000	67000	804008
"29"	"La_Liga"	15	86	"Real_Madrid"	2005	4	3	4	3	6	11	2	2	NA	NA	NA	NA
"30"	"La_Liga"	15	86	"Real_Madrid"	2006	4	4	3	3	6	8	2	2	NA	NA	NA	NA
"31"	"La_Liga"	15	86	"Real_Madrid"	2007	7	5	7	2	8	10	2	2	80300	60000	73162	585300
"32"	"La_Liga"	15	86	"Real_Madrid"	2008	7	5	6	4	10	18	5	5	80000	50000	73157	1390000
"33"	"La_Liga"	15	86	"Real_Madrid"	2009	6	5	6	2	12	12	1	1	83000	50000	70947	1348000
"34"	"La_Liga"	15	86	"Real_Madrid"	2010	8	6	7	5	7	12	1	1	80000	50000	70736	1344000
"35"	"La_Liga"	15	86	"Real_Madrid"	2011	7	6	6	2	10	23	1	1	82000	60000	74827	1346900
"36"	"La_Liga"	15	86	"Real_Madrid"	2012	6	5	5	1	6	16	1	2	84000	55000	68640	1304169
"37"	"La_Liga"	15	86	"Real_Madrid"	2013	7	5	5	2	5	18	2	3	85454	60174	72524	1377974
"38"	"La_Liga"	15	86	"Real_Madrid"	2014	9	8	8	4	12	12	2	2	85253	63634	72553	1378515
"39"	"La_Liga"	15	86	"Real_Madrid"	2015	10	6	8	4	12	12	2	2	80148	60907	67697	1286253
"40"	"La_Liga"	15	86	"Real_Madrid"	2016	5	6	5	1	6	16	1	1	81044	61568	68857	1308296
"41"	"La_Liga"	15	3747	"Granada"	2011	4	3	3	4	2	3	3	8	25000	13000	18000	180000
"42"	"La_Liga"	15	3747	"Granada"	2012	3	3	3	5	2	5	3	8	23000	9916	20312	385940
"43"	"La_Liga"	15	3747	"Granada"	2013	4	3	4	4	2	3	3	5	30000	10000	16454	312635
"44"	"La_Liga"	15	3747	"Granada"	2014	2	3	3	8	3	4	4	15	28848	14338	18118	344247
"45"	"La_Liga"	15	3747	"Granada"	2015	5	4	4	4	2	2	4	9	20552	12711	15861	301361
"46"	"La_Liga"	15	3747	"Granada"	2016	4	2	3	6	1	1	8	13	19161	10706	14968	284406
"47"	"La_Liga"	15	1068	"Atletico_Madrid"	2002	3	4	4	4	2	6	3	9	57000	35000	47789	908000
"48"	"La_Liga"	15	1068	"Atletico_Madrid"	2003	4	4	4	4	3	6	3	4	55000	25000	45666	822000
"49"	"La_Liga"	15	1068	"Atletico_Madrid"	2004	4	2	4	3	2	4	2	6	55000	35000	45127	406149
"50"	"La_Liga"	15	1068	"Atletico_Madrid"	2005	5	3	5	3	6	6	2	10	NA	NA	NA	NA
"51"	"La_Liga"	15	1068	"Atletico_Madrid"	2006	3	4	3	6	2	5	2	3	NA	NA	NA	NA
"52"	"La_Liga"	15	1068	"Atletico_Madrid"	2007	6	3	4	3	3	5	2	2	55000	30000	40428	283000
"53"	"La_Liga"	15	1068	"Atletico_Madrid"	2008	4	5	4	5	6	9	3	5	57500	15000	41657	791500
"54"	"La_Liga"	15	1068	"Atletico_Madrid"	2009	4	4	4	3	3	4	3	5	57000	15000	37789	718000
"55"	"La_Liga"	15	1068	"Atletico_Madrid"	2010	4	4	4	3	2	5	4	4	55000	30000	44684	849000
"56"	"La_Liga"	15	1068	"Atletico_Madrid"	2011	4	4	4	5	3	6	2	5	54000	25000	45236	859500
"57"	"La_Liga"	15	1068	"Atletico_Madrid"	2012	6	4	6	3	8	9	1	2	54000	33000	46631	886000
"58"	"La_Liga"	15	1068	"Atletico_Madrid"	2013	7	4	7	3	9	13	1	1	54600	30000	45914	872382
"59"	"La_Liga"	15	1068	"Atletico_Madrid"	2014	4	4	4	2	4	11	1	3	54069	37000	46829	889755
"60"	"La_Liga"	15	1068	"Atletico_Madrid"	2015	5	3	4	1	6	9	1	2	53079	29737	43471	825962
"61"	"La_Liga"	15	1068	"Atletico_Madrid"	2016	7	5	6	3	5	9	2	2	53741	30323	44674	848824
